Question,Answer,Class
X != 'Yes','Yes' is not the value for X,!=
X != 'Yes',if X is 'Yes'  than is false,!=
X != 'Yes',if X is equal to 'Yes' then is false,!=
X != 'Yes',the value of x is not equal to 'Yes',!=
X != 'Yes',The value of X should not be Yes.,!=
X != 'Yes',The variable X is different from 'Yes',!=
X != 'Yes',X and 'Yes' do not mean the same thing,!=
X != 'Yes',X can have anything other than Yes.,!=
X != 'Yes',X can not be Yes,!=
X != 'Yes',"X can't be 'Yes"".",!=
X != 'Yes',X can't be the same as 'Yes'.,!=
X != 'Yes',X can't have a value of Yes.,!=
X != 'Yes',X cannot be 'Yes'.,!=
X != 'Yes',x cannot be yes,!=
X != 'Yes',X cannot be Yes.,!=
X != 'Yes',X does not consist of Yes,!=
X != 'Yes',X does not indicate 'Yes',!=
X != 'Yes',x is any other but yes,!=
X != 'Yes',X is not 'Yes',!=
X != 'Yes',X is not equal to 'Yes',!=
X != 'Yes',X is not the value 'Yes'.,!=
X != 'Yes',X is not Yes,!=
X != 'Yes',X is something other than 'Yes'.,!=
X != 'Yes',X isn't 'Yes'.,!=
X != 'Yes',X isn't able to be 'Yes'.,!=
X != 'Yes',X may not be 'Yes'.,!=
X != 'Yes',X may not equal 'Yes'.,!=
X != 'Yes',X must be different from  'Yes',!=
X != 'Yes',x must not be equivalent to 'Yes',!=
X != 'Yes',X must not equal 'Yes',!=
X != 'Yes',X must not be 'Yes',!=
X != 'Yes',X must not be equal to 'Yes',!=
X != 'Yes',X shall not mean 'Yes',!=
X != 'Yes',X should be a string different to 'Yes',!=
X != 'Yes',X should have values other than Yes.,!=
X != 'Yes',X shouldn't be Yes.,!=
X != 0,X isn't permitted to be zero.,!=
X != 0,X is more or less than zero.,!=
X != 2,It isn't acceptable for X to be 2.,!=
X != 2,The value of X is not 2,!=
X != 2,The value of X must not be equal to 2.,!=
X != 2,The X must not be 2,!=
X != 2,X can not be 2,!=
X != 2,X can't be 2.,!=
X != 2,X cannot be 2.,!=
X != 2,X cannot be equal to 2,!=
X != 2,X is not 2,!=
X != 2,X is not able to equal 2.,!=
X != 2,X is not equal to 2,!=
X != 2,X is not equal to two.,!=
X != 2,X is not two,!=
X != 2,X may not be 2.,!=
X != 2,X must not be 2,!=
X != 2,X must not be equal 2,!=
X != 2,X must not be equal to 2.,!=
X != 2,X must not be equals to 2,!=
X != 2,X must not be two,!=
X != 2,X shall not be 2,!=
X != 2,X should not be 2.,!=
X != 2,X should not be equal to 2.,!=
X != 2,X should not be equals to 2,!=
X != 2,X's value must not be '2',!=
X != 2,X must be anything but 2,!=
X != 2,X is greater than or less than two.,!=
X != 2,X shouldn't hold a number equal to two.,!=
X != 2,2 must not be equal to x,!=
X != 2,The number two is not equal to X.,!=
X != 2,The variable X does not equal two.,!=
X != 2,Two is not equal to X.,!=
X != 2,two is not X,!=
X != 2,value of X not equals to 2,!=
X != 2,X can be anything but '2',!=
X != 2,X can be anything other than two.,!=
X != 2,X can't have a value of two.,!=
X != 2,X does not consist of 2,!=
X != 2,X does not equal two.,!=
X != 2,X is a number other than two.,!=
X != 2,X is a value other than two.,!=
X != 2,X is any number except 2,!=
X != 2,X is different than 2,!=
X != 2,X must be a value other than 2,!=
X != 2,X must be other than 2,!=
X != 2,X must have value other than 2.,!=
X != 2,X not equals to 2,!=
Length(X) != 0,The length cannot be equal to zero.,!=
Length(X) != 10,Character length of X is not equal to ten.,!=
Length(X) != 10,Length of X is not 10.,!=
Length(X) != 10,Length of X is not equal to Ten,!=
Length(X) != 10,Length of X is not ten.,!=
Length(X) != 10,Length of X must not be 10,!=
Length(X) != 10,Length of X should not be equal to 10,!=
Length(X) != 10,Length x is not 10.,!=
Length(X) != 10,The character count for X is not equal to ten.,!=
Length(X) != 10,The character count of X should not be 10.,!=
Length(X) != 10,The length is not 10.,!=
Length(X) != 10,The length of X  is not equal to 10.,!=
Length(X) != 10,The length of X  must not be equal to 10.,!=
Length(X) != 10,The length of X cannot be equal to 10.,!=
Length(X) != 10,The length of X should not be 10.,!=
Length(X) != 10,The length of X should not be equal to 10.,!=
Length(X) != 10,x length could not be equal to ten,!=
Length(X) != 10,x length must not be equal to ten,!=
Length(X) != 10,x length should not be equal to ten,!=
Length(X) != 10,x length should be greater than or smaller than ten,!=
Length(X) != 10,The length of X is not 10 characters.,!=
Length(X) != 10,The length of X must not be 10 characters.,!=
Length(X) != 10,The length of X should not be ten characters.,!=
Length(X) != 10,X is not 10 characters,!=
Length(X) != 10,X is not 10 characters long.,!=
Length(X) != 10,X must not be 10 characters,!=
Length(X) != 10,X must not be 10 characters long.,!=
Length(X) != 10,X should not be 10 characters,!=
Length(X) != 10,10 can't be equals to length of X,!=
Length(X) != 10,10 is not the length of x,!=
Length(X) != 10,Length of X can not be equals to 10,!=
Length(X) != 10,Length of X must not be equals to 10,!=
Length(X) != 10,Length of X should definitely not equal to ten,!=
Length(X) != 10,Length of X should not be equals to 10,!=
Length(X) != 10,The length does not equal 10.,!=
Length(X) != 10,The length of X should have value other than 10.,!=
Length(X) != 10,The X can not have 10 characters,!=
Length(X) != 10,x can have any length except 10,!=
Length(X) != 10,X does not have a length of 10 characters.,!=
Length(X) != 10,X must not have 10 characters,!=
Length(X) != 10,X should not have 10 characters,!=
Length(X) != 10,X shouldn't have ten characters in it.,!=
X < 0,The value of X cannot be zero or more.,<
X < 0,The value of X is less than zero.,<
X < 0,The value X is smaller than 0,<
X < 0,X is less than 0,<
X < 0,X is smaller than 0,<
X < 0,X must be less than zero.,<
X < 0,X must be smaller than 0,<
X < 0,X should be less than 0,<
X < 0,x should be less than zero,<
X < 0,X should be smaller than 0,<
X < 0,x should be smaller than zero,<
X < 0,X is not 0 or a positive number,<
X < 0,X is a negative number,<
X < 0,X is a sub-0 number,<
X < 0,0 is bigger than the value X,<
X < 0,0 is bigger than X,<
X < 0,0 is greater than X,<
X < 0,The value of X is fewer than 0,<
X < 0,x can be negative,<
X < 0,X consists of a number lower than 0,<
X < 0,X equals a number lower than 0,<
X < 0,X equals a number under 0.,<
X < 0,X falls under 0.,<
X < 0,X has a value that is less than zero.,<
X < 0,X holds a number that is lower than 0.,<
X < 0,X is a number lower than 0,<
X < 0,X is below 0,<
X < 0,X is below 0.,<
X < 0,X is fewer than 0.,<
X < 0,X is lower than 0,<
X < 0,X is lower than zero.,<
X < 0,X is negative,<
X < 0,X is to be found below 0,<
X < 0,X must be lower than 0,<
X < 0,X shall not reach 0 or higher,<
